Scenario,Algorithm,Total Tasks,High Priority Tasks,Low Priority Tasks,High Met Deadline,Low Met Deadline,Total Met Deadline,High Success Rate (%),Low Success Rate (%),Total Success Rate (%),Makespan,Composite Performance Score (%),Avg Response Time,Avg Waiting Time,Simulation Time
New 1: Deadline Gradient,DPE (α=0.3),10,0,10,0,8,8,0,80.0,80.0,15,88.89,5.0,2.5,15
New 1: Deadline Gradient,DPE (α=0.5),10,0,10,0,8,8,0,80.0,80.0,15,88.89,5.0,2.5,15
New 1: Deadline Gradient,DPE (α=0.7),10,0,10,0,8,8,0,80.0,80.0,15,88.89,5.0,2.5,15
New 1: Deadline Gradient,DPE (α=0.9),10,0,10,0,8,8,0,80.0,80.0,15,88.89,5.0,2.5,15
New 2: Equal Priority Mix,SPT,8,8,0,8,0,8,100.0,0,100.0,15,100.0,5.25,2.67,15
New 2: Equal Priority Mix,EDF,8,8,0,8,0,8,100.0,0,100.0,16,96.77,5.38,2.83,16
New 2: Equal Priority Mix,Priority-First,8,8,0,8,0,8,100.0,0,100.0,16,96.77,5.38,2.83,16
New 2: Equal Priority Mix,DPE (α=0.3),8,8,0,8,0,8,100.0,0,100.0,16,96.77,5.38,2.83,16
New 2: Equal Priority Mix,DPE (α=0.5),8,8,0,8,0,8,100.0,0,100.0,16,96.77,5.38,2.83,16
New 2: Equal Priority Mix,DPE (α=0.7),8,8,0,8,0,8,100.0,0,100.0,16,96.77,5.38,2.83,16
New 2: Equal Priority Mix,DPE (α=0.9),8,8,0,8,0,8,100.0,0,100.0,16,96.77,5.38,2.83,16
New 3: Periodic Arrivals,SPT,10,5,5,5,5,10,100.0,100.0,100.0,15,100.0,2.5,0.0,15
New 3: Periodic Arrivals,EDF,10,5,5,5,5,10,100.0,100.0,100.0,15,100.0,2.5,0.0,15
New 3: Periodic Arrivals,Priority-First,10,5,5,5,5,10,100.0,100.0,100.0,15,100.0,2.5,0.0,15
New 3: Periodic Arrivals,DPE (α=0.3),10,5,5,5,5,10,100.0,100.0,100.0,15,100.0,2.5,0.0,15
New 3: Periodic Arrivals,DPE (α=0.5),10,5,5,5,5,10,100.0,100.0,100.0,15,100.0,2.5,0.0,15
New 3: Periodic Arrivals,DPE (α=0.7),10,5,5,5,5,10,100.0,100.0,100.0,15,100.0,2.5,0.0,15
New 3: Periodic Arrivals,DPE (α=0.9),10,5,5,5,5,10,100.0,100.0,100.0,15,100.0,2.5,0.0,15
New 4: Bimodal Processing,SPT,10,6,4,6,4,10,100.0,100.0,100.0,27,100.0,9.4,5.12,27
New 4: Bimodal Processing,EDF,10,6,4,6,4,10,100.0,100.0,100.0,28,98.18,9.6,5.38,28
New 4: Bimodal Processing,Priority-First,10,6,4,6,4,10,100.0,100.0,100.0,28,98.18,10.6,6.62,28
New 4: Bimodal Processing,DPE (α=0.3),10,6,4,6,4,10,100.0,100.0,100.0,28,98.18,10.7,6.75,28
New 4: Bimodal Processing,DPE (α=0.5),10,6,4,6,4,10,100.0,100.0,100.0,28,98.18,10.7,6.75,28
New 4: Bimodal Processing,DPE (α=0.7),10,6,4,6,4,10,100.0,100.0,100.0,28,98.18,10.6,6.62,28
New 4: Bimodal Processing,DPE (α=0.9),10,6,4,6,4,10,100.0,100.0,100.0,28,98.18,10.6,6.62,28
New 5: Overload Recovery,SPT,18,8,10,8,10,18,100.0,100.0,100.0,16,100.0,5.06,3.27,16
New 5: Overload Recovery,EDF,18,8,10,8,10,18,100.0,100.0,100.0,16,100.0,5.83,4.2,16
New 5: Overload Recovery,Priority-First,18,8,10,8,10,18,100.0,100.0,100.0,16,100.0,5.83,4.2,16
New 5: Overload Recovery,DPE (α=0.3),18,8,10,8,10,18,100.0,100.0,100.0,16,100.0,5.83,4.2,16
New 5: Overload Recovery,DPE (α=0.5),18,8,10,8,10,18,100.0,100.0,100.0,16,100.0,5.83,4.2,16
New 5: Overload Recovery,DPE (α=0.7),18,8,10,8,10,18,100.0,100.0,100.0,16,100.0,5.83,4.2,16
New 5: Overload Recovery,DPE (α=0.9),18,8,10,8,10,18,100.0,100.0,100.0,16,100.0,5.83,4.2,16
